accommodates,bathrooms,bedrooms,beds,price,guests_included,availability_365,number_of_reviews,review_scores_rating,clusters,cluster
2,1.0,2.0,1.0,140.0,2,357,3,100.0,3,
2,1.0,1.0,1.0,78.0,2,332,310,97.0,3,
4,1.0,1.0,4.0,69.0,1,172,224,84.0,3,
2,1.0,1.0,1.0,69.0,2,0,195,97.0,0,pink
3,1.0,2.0,2.0,125.0,2,53,29,99.0,0,pink
2,1.0,1.0,1.0,140.0,1,15,30,95.0,0,pink
4,2.0,3.0,3.0,120.0,3,1,13,100.0,0,pink
4,1.0,3.0,5.0,213.0,4,14,23,97.0,0,pink
2,1.0,1.0,2.0,140.0,2,0,18,93.0,0,pink
2,1.0,1.0,1.0,70.0,1,0,71,93.0,0,pink
2,1.0,1.0,1.0,150.0,1,0,0,97.0,0,pink
2,1.0,1.0,1.0,90.0,1,79,258,96.0,0,pink
5,2.0,4.0,5.0,150.0,2,0,14,100.0,0,pink
2,1.0,1.0,1.0,125.0,2,0,36,99.0,0,pink
4,1.0,2.0,4.0,225.0,3,43,39,97.0,0,pink
2,1.0,1.0,1.0,135.0,1,330,43,99.0,3,
4,1.5,2.0,2.0,336.0,4,30,5,95.0,1,purple
2,1.0,1.0,1.0,129.0,1,5,72,97.0,0,pink
2,1.0,1.0,1.0,125.0,1,0,21,93.0,0,pink
2,1.0,1.0,1.0,95.0,1,7,71,96.0,0,pink
4,1.0,0.0,4.0,100.0,2,119,126,98.0,0,pink
2,1.0,1.0,1.0,120.0,2,71,61,96.0,0,pink
2,1.0,1.0,1.0,79.0,1,0,15,94.0,0,pink
4,1.5,2.0,3.0,453.0,3,25,13,100.0,1,purple
4,1.0,2.0,2.0,105.0,2,0,1,97.0,0,pink
2,1.0,1.0,1.0,105.0,2,0,22,100.0,0,pink
2,1.0,1.0,1.0,99.0,2,17,38,93.0,0,pink
2,1.0,1.0,1.0,90.0,1,1,46,94.0,0,pink
2,1.0,1.0,1.0,100.0,2,0,206,97.0,0,pink
2,1.0,1.0,1.0,139.0,1,0,107,91.0,0,pink
2,1.0,1.0,1.0,120.0,1,25,32,99.0,0,pink
2,1.0,1.0,1.0,99.0,1,0,17,95.0,0,pink
2,1.0,1.0,1.0,175.0,1,130,57,93.0,0,pink
4,2.5,2.0,4.0,250.0,2,205,27,98.0,3,
4,1.5,2.0,4.0,140.0,1,9,72,95.0,0,pink
4,1.0,1.0,2.0,129.0,2,0,168,99.0,0,pink
2,1.0,1.0,1.0,150.0,2,323,30,90.0,3,
2,1.0,1.0,1.0,135.0,1,334,41,98.0,3,
2,1.0,1.0,1.0,115.0,1,0,8,100.0,0,pink
2,1.5,1.0,1.0,40.0,1,0,18,98.0,0,pink
2,1.0,1.0,1.0,100.0,2,62,98,89.0,0,pink
9,2.0,4.0,5.0,170.0,5,16,7,100.0,0,pink
2,1.0,1.0,1.0,140.0,1,0,29,93.0,0,pink
2,1.0,1.0,1.0,85.0,1,164,541,96.0,3,
2,1.0,1.0,1.0,85.0,1,187,438,97.0,3,
4,1.5,2.0,2.0,150.0,2,0,4,95.0,0,pink
5,1.0,1.0,3.0,145.0,3,309,161,86.0,3,
5,1.0,1.0,3.0,150.0,3,259,84,86.0,3,
5,1.0,1.0,3.0,150.0,3,239,108,87.0,3,
6,3.0,4.0,8.0,205.0,4,18,25,95.0,0,pink
4,1.0,2.0,2.0,110.0,2,0,25,88.0,0,pink
4,2.0,2.0,2.0,350.0,4,244,12,96.0,1,purple
4,1.0,2.0,2.0,170.0,2,0,12,98.0,0,pink
4,2.0,2.0,2.0,325.0,4,75,21,96.0,1,purple
2,1.5,1.0,1.0,87.0,1,365,64,85.0,3,
3,1.0,2.0,2.0,125.0,2,45,16,100.0,0,pink
4,1.0,3.0,2.0,250.0,4,0,17,100.0,0,pink
4,1.0,2.0,2.0,139.0,1,0,0,97.0,0,pink
2,1.0,1.0,1.0,99.0,2,0,9,94.0,0,pink
2,1.0,1.0,2.0,140.0,1,351,13,100.0,3,
2,1.0,1.0,1.0,147.0,1,0,29,94.0,0,pink
2,1.0,1.0,1.0,175.0,1,0,26,97.0,0,pink
2,1.0,1.0,1.0,199.0,1,66,2,97.0,0,pink
4,1.0,2.0,4.0,245.0,2,284,46,98.0,3,
3,1.0,1.0,1.0,180.0,1,0,24,97.0,0,pink
2,1.0,2.0,2.0,125.0,2,0,21,95.0,0,pink
2,1.0,1.0,1.0,100.0,2,0,12,85.0,0,pink
